ORDERID,DATE,PURCHASE_TIME,PAYMENT,COGS,GROSS_MARGIN_PERCENTAGE,GROSS_INCOME,RATING
729-09-9681,2/5/2019,10:16,Samsungpay,155.46,4.761904762,7.773,8.7
151-16-1484,2/13/2019,12:38,Samsungpay,129,4.761904762,6.45,6.5
380-94-4661,2/7/2019,13:05,Credit card,263.76,4.761904762,13.188,6.9
850-41-9669,3/19/2019,13:25,Samsungpay,675.54,4.761904762,33.777,6.2
821-07-3596,3/7/2019,14:53,Samsungpay,65.8,4.761904762,3.29,5.6
655-85-5130,3/13/2019,19:22,Naverpay,153.2,4.761904762,7.66,5.7
447-15-7839,2/9/2019,11:00,Naverpay,222.4,4.761904762,11.12,4.2
154-74-7179,2/26/2019,19:24,Samsungpay,54.45,4.761904762,2.7225,7.9
253-12-6086,3/12/2019,12:43,Credit card,688.8,4.761904762,34.44,8.7
808-65-0703,3/14/2019,17:22,Credit card,141.88,4.761904762,7.094,6.9
571-94-0759,1/8/2019,20:55,Naverpay,746,4.761904762,37.3,9.5
144-51-6085,1/5/2019,16:05,Credit card,282.96,4.761904762,14.148,4.4
731-14-2199,1/4/2019,13:34,Samsungpay,355.4,4.761904762,17.77,7
783-09-1637,3/6/2019,18:13,Samsungpay,337.15,4.761904762,16.8575,6.3
687-15-1097,1/3/2019,19:17,Naverpay,42.24,4.761904762,2.112,9.7
126-54-1082,1/7/2019,11:44,Credit card,193.86,4.761904762,9.693,8.8
633-91-1052,1/27/2019,15:51,Naverpay,24.06,4.761904762,1.203,5.1
477-24-6490,2/26/2019,16:52,Samsungpay,598.26,4.761904762,29.913,7.9
566-19-5475,1/7/2019,20:52,Naverpay,335.79,4.761904762,16.7895,6.2
526-86-8552,1/7/2019,17:36,Naverpay,218.2,4.761904762,10.91,7.1
376-56-3573,2/2/2019,13:23,Samsungpay,381.68,4.761904762,19.084,6.4
537-72-0426,3/20/2019,16:28,Naverpay,709.9,4.761904762,35.495,5.7
828-61-5674,3/20/2019,19:57,Credit card,440.2,4.761904762,22.01,9.6
136-08-6195,2/15/2019,17:01,Credit card,559.68,4.761904762,27.984,6.4
523-38-0215,3/6/2019,13:29,Credit card,37,4.761904762,1.85,7.9
490-29-1201,1/6/2019,11:09,Naverpay,15.34,4.761904762,0.767,6.5
667-92-0055,3/4/2019,15:02,Samsungpay,598.98,4.761904762,29.949,8.5
565-17-3836,3/12/2019,14:21,Naverpay,190.68,4.761904762,9.534,9.1
498-41-1961,2/20/2019,18:01,Naverpay,333.4,4.761904762,16.67,7.6
593-95-4461,3/24/2019,14:49,Naverpay,74.86,4.761904762,3.743,6.9
226-71-3580,1/31/2019,12:02,Naverpay,213.75,4.761904762,10.6875,9.5
283-79-9594,1/25/2019,13:30,Credit card,339.57,4.761904762,16.9785,5.2
430-60-3493,2/3/2019,14:38,Naverpay,664.16,4.761904762,33.208,4.2
139-20-0155,1/24/2019,17:37,Credit card,403,4.761904762,20.15,7
558-80-4082,3/14/2019,17:20,Samsungpay,194.95,4.761904762,9.7475,6
278-97-7759,2/18/2019,20:29,Naverpay,62.48,4.761904762,3.124,4.7
316-68-6352,1/21/2019,10:00,Naverpay,72.72,4.761904762,3.636,7.1
585-03-5943,3/13/2019,11:46,Samsungpay,181.1,4.761904762,9.055,5.9
211-05-0490,3/3/2019,13:42,Naverpay,259.6,4.761904762,12.98,7.5
727-75-6477,3/29/2019,14:44,Naverpay,115.36,4.761904762,5.768,6.4
744-02-5987,1/10/2019,14:16,Samsungpay,470.28,4.761904762,23.514,5.8
307-83-9164,1/25/2019,15:54,Naverpay,240.04,4.761904762,12.002,4.5
779-06-0012,1/19/2019,10:21,Naverpay,88.61,4.761904762,4.4305,7.7
446-47-6729,1/2/2019,18:09,Credit card,199.64,4.761904762,9.982,6.7
573-10-3877,3/12/2019,16:46,Credit card,39.01,4.761904762,1.9505,4.7
735-06-4124,2/25/2019,15:31,Naverpay,48.61,4.761904762,2.4305,4.4
439-54-7422,3/18/2019,17:15,Credit card,204.76,4.761904762,10.238,4.7
396-90-2219,2/23/2019,12:29,Naverpay,119.68,4.761904762,5.984,8.6
411-77-0180,3/26/2019,20:14,Samsungpay,505.4,4.761904762,25.27,4.3
286-01-5402,3/30/2019,13:22,Naverpay,281.61,4.761904762,14.0805,9.6
803-17-8013,2/17/2019,17:09,Naverpay,710.32,4.761904762,35.516,4.1
512-98-1403,3/21/2019,10:40,Samsungpay,79.44,4.761904762,3.972,4.7
848-42-2560,3/5/2019,17:43,Naverpay,163.82,4.761904762,8.191,7.8
532-59-7201,1/31/2019,14:04,Naverpay,479.58,4.761904762,23.979,5.5
181-94-6432,2/5/2019,19:05,Samsungpay,138.66,4.761904762,6.933,9.7
870-76-1733,2/1/2019,10:08,Credit card,71.15,4.761904762,3.5575,4.4
423-64-4619,3/7/2019,13:12,Naverpay,139.95,4.761904762,6.9975,5
227-07-4446,2/10/2019,20:51,Naverpay,781.3,4.761904762,39.065,4.4
174-36-3675,2/14/2019,17:29,Naverpay,198.74,4.761904762,9.937,5.2
428-83-5800,2/9/2019,10:25,Naverpay,63.24,4.761904762,3.162,7.3
603-07-0961,1/10/2019,11:34,Naverpay,373.95,4.761904762,18.6975,4.9
704-20-4138,3/11/2019,18:58,Credit card,207.69,4.761904762,10.3845,8.1
787-15-1757,2/18/2019,16:28,Samsungpay,176.28,4.761904762,8.814,8.4
649-11-3678,2/26/2019,20:26,Naverpay,206.37,4.761904762,10.3185,5.5
622-20-1945,1/18/2019,15:08,Naverpay,39.42,4.761904762,1.971,8.4
372-94-8041,2/15/2019,18:03,Samsungpay,91.56,4.761904762,4.578,9.8
563-91-7120,3/8/2019,13:21,Naverpay,308.85,4.761904762,15.4425,6.7
746-54-5508,1/17/2019,12:48,Credit card,129.12,4.761904762,6.456,9.4
276-54-0879,3/12/2019,19:53,Samsungpay,390.96,4.761904762,19.548,6.4
815-11-1168,3/9/2019,19:09,Naverpay,498.9,4.761904762,24.945,5.4
719-76-3868,3/12/2019,16:30,Naverpay,377.04,4.761904762,18.852,8.6
730-61-8757,1/25/2019,10:11,Credit card,204.52,4.761904762,10.226,4
340-66-0321,3/25/2019,13:07,Naverpay,145.44,4.761904762,7.272,7.6
