ORDERID,PURCHASE_PAGE,CITY,CUSTOMER_TYPE,GENDER
399-46-5918,C,Gyeonggi,Normal,Female
106-35-6779,A,Seoul,Member,Male
635-40-6220,A,Seoul,Normal,Male
817-48-8732,A,Seoul,Member,Female
120-06-4233,C,Gyeonggi,Normal,Male
285-68-5083,C,Gyeonggi,Member,Female
803-83-5989,C,Gyeonggi,Normal,Male
347-34-2234,B,Incheon,Member,Female
199-75-8169,A,Seoul,Member,Male
853-23-2453,B,Incheon,Member,Male
877-22-3308,A,Seoul,Member,Male
838-78-4295,C,Gyeonggi,Normal,Female
109-28-2512,B,Incheon,Member,Female
232-11-3025,A,Seoul,Normal,Male
382-03-4532,A,Seoul,Member,Female
393-65-2792,C,Gyeonggi,Normal,Male
796-12-2025,C,Gyeonggi,Normal,Male
510-95-6347,B,Incheon,Member,Female
841-35-6630,C,Gyeonggi,Normal,Female
287-21-9091,A,Seoul,Normal,Male
732-94-0499,C,Gyeonggi,Normal,Female
263-10-3913,C,Gyeonggi,Member,Male
381-20-0914,A,Seoul,Member,Female
829-49-1914,C,Gyeonggi,Member,Female
756-01-7507,C,Gyeonggi,Normal,Female
870-72-4431,C,Gyeonggi,Normal,Female
847-38-7188,B,Incheon,Normal,Female
480-63-2856,C,Gyeonggi,Normal,Male
787-56-0757,C,Gyeonggi,Member,Female
360-39-5055,C,Gyeonggi,Member,Male
730-50-9884,C,Gyeonggi,Normal,Female
362-58-8315,C,Gyeonggi,Normal,Male
633-44-8566,A,Seoul,Member,Male
504-35-8843,A,Seoul,Normal,Male
318-68-5053,B,Incheon,Normal,Female
565-80-5980,C,Gyeonggi,Member,Female
225-32-0908,C,Gyeonggi,Normal,Female
873-51-0671,A,Seoul,Member,Female
152-08-9985,B,Incheon,Member,Male
512-91-0811,C,Gyeonggi,Normal,Male
594-34-4444,A,Seoul,Normal,Male
766-85-7061,B,Incheon,Normal,Male
871-39-9221,C,Gyeonggi,Normal,Female
865-92-6136,A,Seoul,Normal,Male
733-01-9107,B,Incheon,Normal,Male
163-56-7055,C,Gyeonggi,Member,Male
189-98-2939,C,Gyeonggi,Normal,Male
551-21-3069,C,Gyeonggi,Normal,Female
212-62-1842,A,Seoul,Normal,Male
716-39-1409,B,Incheon,Normal,Male
704-48-3927,A,Seoul,Member,Male
628-34-3388,C,Gyeonggi,Normal,Male
630-74-5166,A,Seoul,Normal,Male
588-01-7461,C,Gyeonggi,Normal,Female
861-77-0145,C,Gyeonggi,Member,Male
479-26-8945,B,Incheon,Member,Female
210-67-5886,C,Gyeonggi,Member,Female
227-78-1148,B,Incheon,Normal,Female
645-44-1170,A,Seoul,Member,Male
237-01-6122,C,Gyeonggi,Member,Female
225-98-1496,C,Gyeonggi,Normal,Female
291-32-1427,B,Incheon,Member,Male
659-65-8956,B,Incheon,Member,Male
642-32-2990,A,Seoul,Normal,Female
378-24-2715,B,Incheon,Normal,Male
638-60-7125,A,Seoul,Normal,Female
659-36-1684,C,Gyeonggi,Member,Male
219-22-9386,B,Incheon,Member,Male
336-78-2147,C,Gyeonggi,Member,Male
268-27-6179,B,Incheon,Member,Female
668-90-8900,A,Seoul,Normal,Female
870-54-3162,A,Seoul,Normal,Female
189-08-9157,C,Gyeonggi,Normal,Female
663-86-9076,C,Gyeonggi,Member,Female
549-84-7482,B,Incheon,Normal,Female
191-10-6171,B,Incheon,Normal,Female
802-70-5316,A,Seoul,Member,Female
695-51-0018,B,Incheon,Normal,Female
590-83-4591,B,Incheon,Member,Male
483-71-1164,C,Gyeonggi,Normal,Female
597-78-7908,C,Gyeonggi,Normal,Male
700-81-1757,A,Seoul,Normal,Female
354-39-5160,A,Seoul,Member,Female
241-72-9525,B,Incheon,Normal,Male
575-30-8091,A,Seoul,Normal,Male
731-81-9469,C,Gyeonggi,Member,Female
280-17-4359,C,Gyeonggi,Member,Male
338-65-2210,C,Gyeonggi,Member,Female
488-25-4221,C,Gyeonggi,Member,Female
239-10-7476,A,Seoul,Normal,Female
458-41-1477,C,Gyeonggi,Normal,Female
685-64-1609,A,Seoul,Member,Female
568-90-5112,C,Gyeonggi,Normal,Male
262-47-2794,B,Incheon,Member,Male
238-49-0436,A,Seoul,Normal,Male
608-96-3517,B,Incheon,Member,Female
584-86-7256,C,Gyeonggi,Member,Male
746-94-0204,A,Seoul,Normal,Male
214-17-6927,C,Gyeonggi,Normal,Female
400-89-4171,C,Gyeonggi,Normal,Female
782-95-9291,A,Seoul,Member,Male
279-74-2924,B,Incheon,Member,Male
307-85-2293,B,Incheon,Normal,Male
743-04-1105,B,Incheon,Member,Male
423-57-2993,B,Incheon,Normal,Male
894-41-5205,C,Gyeonggi,Normal,Female
275-28-0149,A,Seoul,Normal,Male
101-17-6199,A,Seoul,Normal,Male
423-80-0988,C,Gyeonggi,Normal,Male
548-46-9322,B,Incheon,Normal,Male
505-02-0892,B,Incheon,Member,Male
234-65-2137,C,Gyeonggi,Normal,Male
687-47-8271,A,Seoul,Normal,Male
796-32-9050,A,Seoul,Normal,Male
105-31-1824,A,Seoul,Member,Male
249-42-3782,A,Seoul,Normal,Male
316-55-4634,B,Incheon,Member,Male
733-33-4967,C,Gyeonggi,Normal,Male
608-27-6295,B,Incheon,Member,Male
414-12-7047,B,Incheon,Normal,Male
827-26-2100,A,Seoul,Member,Male
175-54-2529,A,Seoul,Member,Male
139-52-2867,C,Gyeonggi,Normal,Female
407-63-8975,A,Seoul,Normal,Male
342-65-4817,C,Gyeonggi,Member,Male
130-98-8941,C,Gyeonggi,Normal,Male
434-83-9547,C,Gyeonggi,Member,Male
851-28-6367,A,Seoul,Member,Male
824-88-3614,C,Gyeonggi,Normal,Male
586-25-0848,A,Seoul,Normal,Female
895-66-0685,B,Incheon,Member,Male
305-14-0245,B,Incheon,Member,Female
732-04-5373,B,Incheon,Member,Male
400-60-7251,A,Seoul,Normal,Male
593-65-1552,C,Gyeonggi,Normal,Female
284-34-9626,B,Incheon,Normal,Female
437-58-8131,B,Incheon,Normal,Female
286-43-6208,C,Gyeonggi,Normal,Female
641-43-2399,B,Incheon,Normal,Male
831-07-6050,A,Seoul,Normal,Male
556-86-3144,C,Gyeonggi,Member,Female
848-24-9445,C,Gyeonggi,Member,Male
856-22-8149,A,Seoul,Normal,Female
699-01-4164,C,Gyeonggi,Normal,Male
420-11-4919,C,Gyeonggi,Member,Female
606-80-4905,C,Gyeonggi,Member,Female
542-41-0513,B,Incheon,Member,Female
426-39-2418,C,Gyeonggi,Normal,Male
875-46-5808,B,Incheon,Member,Male
394-43-4238,B,Incheon,Member,Male
749-24-1565,A,Seoul,Normal,Female
672-51-8681,C,Gyeonggi,Member,Female
263-87-5680,C,Gyeonggi,Member,Female
573-58-9734,B,Incheon,Normal,Female
817-69-8206,B,Incheon,Normal,Female
888-02-0338,A,Seoul,Normal,Male
677-11-0152,C,Gyeonggi,Normal,Female
142-63-6033,B,Incheon,Normal,Male
656-16-1063,B,Incheon,Normal,Male
891-58-8335,B,Incheon,Member,Female
802-43-8934,A,Seoul,Normal,Male
560-30-5617,B,Incheon,Normal,Female
319-74-2561,A,Seoul,Member,Female
549-03-9315,B,Incheon,Normal,Male
790-29-1172,B,Incheon,Normal,Female
239-36-3640,B,Incheon,Normal,Male
468-01-2051,B,Incheon,Normal,Male
389-25-3394,C,Gyeonggi,Normal,Male
279-62-1445,C,Gyeonggi,Member,Female
213-72-6612,A,Seoul,Normal,Male
746-68-6593,C,Gyeonggi,Member,Female
836-82-5858,B,Incheon,Member,Male
583-72-1480,C,Gyeonggi,Member,Male
466-61-5506,B,Incheon,Member,Female
721-86-6247,A,Seoul,Normal,Female
289-65-5721,B,Incheon,Normal,Female
545-46-3100,B,Incheon,Member,Female
418-02-5978,B,Incheon,Normal,Female
269-04-5750,B,Incheon,Member,Male
157-13-5295,A,Seoul,Member,Male
645-78-8093,A,Seoul,Normal,Female
211-30-9270,C,Gyeonggi,Normal,Male
755-12-3214,C,Gyeonggi,Member,Female
346-84-3103,B,Incheon,Member,Female
478-06-7835,A,Seoul,Normal,Male
540-11-4336,A,Seoul,Normal,Male
448-81-5016,A,Seoul,Normal,Male
142-72-4741,C,Gyeonggi,Member,Male
217-58-1179,A,Seoul,Member,Male
376-02-8238,B,Incheon,Normal,Male
530-90-9855,A,Seoul,Member,Male
866-05-7563,B,Incheon,Member,Female
604-70-6476,A,Seoul,Member,Male
799-71-1548,A,Seoul,Member,Male
785-13-7708,B,Incheon,Normal,Male
845-51-0542,B,Incheon,Member,Male
662-47-5456,C,Gyeonggi,Member,Male
883-17-4236,C,Gyeonggi,Normal,Female
290-68-2984,A,Seoul,Normal,Male
704-11-6354,A,Seoul,Member,Male
110-48-7033,B,Incheon,Member,Male
366-93-0948,A,Seoul,Member,Male
729-09-9681,A,Seoul,Member,Male
151-16-1484,A,Seoul,Member,Male
380-94-4661,C,Gyeonggi,Member,Male
850-41-9669,A,Seoul,Normal,Female
821-07-3596,C,Gyeonggi,Normal,Female
655-85-5130,B,Incheon,Member,Female
447-15-7839,A,Seoul,Member,Female
154-74-7179,B,Incheon,Normal,Male
253-12-6086,A,Seoul,Member,Female
808-65-0703,C,Gyeonggi,Normal,Male
571-94-0759,B,Incheon,Member,Female
144-51-6085,A,Seoul,Member,Male
731-14-2199,A,Seoul,Member,Female
783-09-1637,B,Incheon,Normal,Female
687-15-1097,C,Gyeonggi,Member,Female
126-54-1082,A,Seoul,Member,Female
633-91-1052,A,Seoul,Normal,Female
477-24-6490,B,Incheon,Normal,Female
566-19-5475,B,Incheon,Normal,Male
526-86-8552,C,Gyeonggi,Member,Female
376-56-3573,C,Gyeonggi,Normal,Female
537-72-0426,C,Gyeonggi,Member,Male
828-61-5674,A,Seoul,Member,Male
136-08-6195,A,Seoul,Normal,Female
523-38-0215,C,Gyeonggi,Normal,Male
490-29-1201,A,Seoul,Normal,Female
667-92-0055,A,Seoul,Member,Male
565-17-3836,A,Seoul,Member,Female
498-41-1961,B,Incheon,Normal,Male
593-95-4461,C,Gyeonggi,Member,Male
226-71-3580,C,Gyeonggi,Normal,Female
283-79-9594,B,Incheon,Normal,Female
430-60-3493,A,Seoul,Member,Female
139-20-0155,B,Incheon,Member,Male
558-80-4082,C,Gyeonggi,Normal,Male
278-97-7759,A,Seoul,Member,Female
316-68-6352,A,Seoul,Member,Female
585-03-5943,B,Incheon,Normal,Male
211-05-0490,C,Gyeonggi,Member,Female
727-75-6477,C,Gyeonggi,Normal,Male
744-02-5987,A,Seoul,Member,Male
307-83-9164,A,Seoul,Member,Male
779-06-0012,C,Gyeonggi,Member,Female
446-47-6729,C,Gyeonggi,Normal,Male
573-10-3877,B,Incheon,Member,Male
735-06-4124,C,Gyeonggi,Normal,Male
439-54-7422,A,Seoul,Normal,Female
396-90-2219,B,Incheon,Normal,Female
411-77-0180,A,Seoul,Member,Male
286-01-5402,A,Seoul,Normal,Female
803-17-8013,A,Seoul,Member,Female
512-98-1403,A,Seoul,Member,Female
848-42-2560,A,Seoul,Normal,Female
532-59-7201,B,Incheon,Member,Male
181-94-6432,C,Gyeonggi,Member,Male
870-76-1733,A,Seoul,Member,Female
423-64-4619,A,Seoul,Member,Female
227-07-4446,C,Gyeonggi,Member,Female
174-36-3675,C,Gyeonggi,Member,Male
428-83-5800,C,Gyeonggi,Member,Female
603-07-0961,C,Gyeonggi,Member,Male
704-20-4138,C,Gyeonggi,Member,Female
787-15-1757,C,Gyeonggi,Member,Male
649-11-3678,C,Gyeonggi,Normal,Female
622-20-1945,C,Gyeonggi,Normal,Female
372-94-8041,A,Seoul,Normal,Male
563-91-7120,A,Seoul,Normal,Female
746-54-5508,A,Seoul,Normal,Male
276-54-0879,B,Incheon,Normal,Male
815-11-1168,A,Seoul,Member,Male
719-76-3868,C,Gyeonggi,Member,Male
730-61-8757,B,Incheon,Member,Male
340-66-0321,A,Seoul,Member,Male
868-81-1752,B,Incheon,Normal,Male
634-97-8956,A,Seoul,Normal,Male
566-71-1091,A,Seoul,Normal,Male
442-48-3607,A,Seoul,Member,Male
835-16-0096,C,Gyeonggi,Member,Male
527-09-6272,A,Seoul,Member,Female
898-04-2717,A,Seoul,Normal,Male
692-27-8933,B,Incheon,Normal,Female
633-09-3463,C,Gyeonggi,Normal,Female
374-17-3652,B,Incheon,Member,Female
378-07-7001,B,Incheon,Member,Male
433-75-6987,B,Incheon,Member,Female
873-95-4984,B,Incheon,Member,Female
416-13-5917,C,Gyeonggi,Normal,Female
150-89-8043,A,Seoul,Normal,Male
135-84-8019,A,Seoul,Normal,Female
441-94-7118,A,Seoul,Member,Male
725-96-3778,C,Gyeonggi,Member,Female
531-80-1784,A,Seoul,Normal,Male
400-45-1220,B,Incheon,Normal,Female
860-79-0874,C,Gyeonggi,Member,Female
834-61-8124,A,Seoul,Normal,Male
115-99-4379,B,Incheon,Member,Female
565-67-6697,B,Incheon,Member,Male
320-49-6392,C,Gyeonggi,Normal,Female
889-04-9723,B,Incheon,Member,Female
632-90-0281,C,Gyeonggi,Normal,Female
554-42-2417,C,Gyeonggi,Normal,Female
453-63-6187,B,Incheon,Normal,Male
578-80-7669,B,Incheon,Normal,Male
612-36-5536,A,Seoul,Member,Male
605-72-4132,C,Gyeonggi,Normal,Female
471-41-2823,C,Gyeonggi,Normal,Male
462-67-9126,A,Seoul,Normal,Male
272-27-9238,C,Gyeonggi,Normal,Female
834-25-9262,C,Gyeonggi,Normal,Female
122-61-9553,C,Gyeonggi,Normal,Female
468-88-0009,A,Seoul,Member,Male
613-59-9758,C,Gyeonggi,Normal,Female
254-31-0042,A,Seoul,Member,Male
201-86-2184,B,Incheon,Member,Female
261-12-8671,B,Incheon,Normal,Female
730-70-9830,C,Gyeonggi,Normal,Female
382-25-8917,C,Gyeonggi,Normal,Male
422-29-8786,A,Seoul,Normal,Female
667-23-5919,A,Seoul,Member,Female
843-01-4703,B,Incheon,Member,Female
743-88-1662,C,Gyeonggi,Normal,Male
595-86-2894,C,Gyeonggi,Member,Male
182-69-8360,B,Incheon,Normal,Female
289-15-7034,A,Seoul,Member,Male
462-78-5240,C,Gyeonggi,Normal,Female
868-52-7573,B,Incheon,Normal,Female
153-58-4872,C,Gyeonggi,Member,Female
662-72-2873,A,Seoul,Normal,Female
525-88-7307,B,Incheon,Member,Male
689-16-9784,C,Gyeonggi,Normal,Male
725-56-0833,A,Seoul,Normal,Female
394-41-0748,C,Gyeonggi,Member,Female
596-42-3999,B,Incheon,Normal,Male
541-89-9860,C,Gyeonggi,Member,Female
173-82-9529,B,Incheon,Normal,Female
563-36-9814,A,Seoul,Member,Male
308-47-4913,A,Seoul,Member,Female
885-17-6250,A,Seoul,Normal,Female
726-27-2396,A,Seoul,Normal,Female
316-01-3952,A,Seoul,Normal,Female
760-54-1821,B,Incheon,Normal,Male
793-10-3222,B,Incheon,Member,Female
346-12-3257,B,Incheon,Member,Male
110-05-6330,C,Gyeonggi,Normal,Female
651-61-0874,C,Gyeonggi,Normal,Male
236-86-3015,C,Gyeonggi,Member,Male
831-64-0259,B,Incheon,Normal,Female
587-03-7455,C,Gyeonggi,Member,Female
882-40-4577,A,Seoul,Member,Male
732-67-5346,A,Seoul,Normal,Male
725-32-9708,B,Incheon,Member,Female
256-08-8343,A,Seoul,Normal,Female
372-26-1506,C,Gyeonggi,Normal,Female
244-08-0162,B,Incheon,Normal,Female
569-71-4390,B,Incheon,Normal,Male
132-23-6451,A,Seoul,Member,Male
696-90-2548,A,Seoul,Normal,Male
472-15-9636,A,Seoul,Normal,Male
268-03-6164,B,Incheon,Normal,Male
750-57-9686,C,Gyeonggi,Normal,Female
186-09-3669,C,Gyeonggi,Member,Female
848-07-1692,B,Incheon,Normal,Female
745-71-3520,A,Seoul,Member,Female
266-76-6436,C,Gyeonggi,Member,Female
740-22-2500,C,Gyeonggi,Normal,Female
271-88-8734,C,Gyeonggi,Member,Female
301-81-8610,B,Incheon,Member,Male
489-64-4354,C,Gyeonggi,Normal,Male
198-84-7132,B,Incheon,Member,Male
269-10-8440,A,Seoul,Member,Male
650-98-6268,B,Incheon,Member,Female
741-73-3559,B,Incheon,Normal,Male
325-77-6186,A,Seoul,Member,Female
286-75-7818,B,Incheon,Normal,Male
574-57-9721,C,Gyeonggi,Normal,Male
459-50-7686,A,Seoul,Normal,Female
616-87-0016,B,Incheon,Normal,Male
837-55-7229,B,Incheon,Normal,Female
751-69-0068,C,Gyeonggi,Normal,Male
257-73-1380,C,Gyeonggi,Member,Male
345-08-4992,A,Seoul,Normal,Male
549-96-4200,C,Gyeonggi,Member,Male
810-60-6344,C,Gyeonggi,Normal,Female
450-28-2866,C,Gyeonggi,Member,Male
394-30-3170,B,Incheon,Member,Female
138-17-5109,A,Seoul,Member,Female
192-98-7397,C,Gyeonggi,Normal,Male
301-11-9629,A,Seoul,Normal,Female
390-80-5128,B,Incheon,Member,Female
235-46-8343,C,Gyeonggi,Member,Male
453-12-7053,C,Gyeonggi,Normal,Male
296-11-7041,B,Incheon,Member,Female
449-27-2918,B,Incheon,Member,Female
891-01-7034,B,Incheon,Normal,Female
744-09-5786,B,Incheon,Normal,Male
727-17-0390,A,Seoul,Normal,Female
568-88-3448,A,Seoul,Normal,Male
187-83-5490,A,Seoul,Member,Male
767-54-1907,B,Incheon,Member,Female
710-46-4433,B,Incheon,Member,Female
533-33-5337,B,Incheon,Normal,Male
325-90-8763,C,Gyeonggi,Member,Female
729-46-7422,C,Gyeonggi,Normal,Male
639-76-1242,C,Gyeonggi,Normal,Male
234-03-4040,B,Incheon,Member,Female
326-71-2155,C,Gyeonggi,Normal,Female
320-32-8842,C,Gyeonggi,Member,Female
470-32-9057,A,Seoul,Member,Male
878-30-2331,C,Gyeonggi,Member,Female
440-59-5691,C,Gyeonggi,Member,Female
554-53-3790,B,Incheon,Normal,Male
746-19-0921,C,Gyeonggi,Normal,Male
233-34-0817,C,Gyeonggi,Member,Female
767-05-1286,C,Gyeonggi,Member,Female
340-21-9136,A,Seoul,Member,Female
405-31-3305,A,Seoul,Member,Male
731-59-7531,B,Incheon,Member,Male
676-39-6028,A,Seoul,Member,Female
502-05-1910,A,Seoul,Normal,Male
485-30-8700,A,Seoul,Normal,Female
598-47-9715,C,Gyeonggi,Normal,Male
701-69-8742,B,Incheon,Normal,Male
575-67-1508,A,Seoul,Normal,Male
541-08-3113,C,Gyeonggi,Normal,Male
246-11-3901,C,Gyeonggi,Normal,Female
674-15-9296,A,Seoul,Normal,Male
305-18-3552,B,Incheon,Member,Male
493-65-6248,C,Gyeonggi,Member,Female
438-01-4015,B,Incheon,Member,Female
709-58-4068,B,Incheon,Normal,Female
795-49-7276,A,Seoul,Normal,Male
556-72-8512,C,Gyeonggi,Normal,Male
627-95-3243,B,Incheon,Member,Female
686-41-0932,B,Incheon,Normal,Female
510-09-5628,A,Seoul,Member,Female
608-04-3797,B,Incheon,Member,Female
148-82-2527,C,Gyeonggi,Member,Female
437-53-3084,B,Incheon,Normal,Male
632-32-4574,B,Incheon,Normal,Male
556-97-7101,C,Gyeonggi,Normal,Female
862-59-8517,C,Gyeonggi,Normal,Female
401-18-8016,B,Incheon,Member,Female
420-18-8989,A,Seoul,Member,Female
277-63-2961,B,Incheon,Member,Male
573-98-8548,C,Gyeonggi,Member,Female
620-02-2046,C,Gyeonggi,Normal,Male
282-35-2475,B,Incheon,Normal,Female
511-54-3087,B,Incheon,Normal,Male
726-29-6793,A,Seoul,Member,Male
387-49-4215,B,Incheon,Member,Female
862-17-9201,B,Incheon,Normal,Female
291-21-5991,B,Incheon,Member,Male
602-80-9671,C,Gyeonggi,Member,Female
347-72-6115,B,Incheon,Member,Female
209-61-0206,A,Seoul,Normal,Female
595-27-4851,A,Seoul,Normal,Female
189-52-0236,A,Seoul,Normal,Male
503-07-0930,C,Gyeonggi,Member,Male
413-20-6708,C,Gyeonggi,Member,Female
425-85-2085,B,Incheon,Member,Male
521-18-7827,C,Gyeonggi,Member,Male
220-28-1851,A,Seoul,Normal,Male
600-38-9738,C,Gyeonggi,Member,Male
734-91-1155,B,Incheon,Normal,Female
451-28-5717,C,Gyeonggi,Member,Female
609-81-8548,A,Seoul,Member,Female
133-14-7229,C,Gyeonggi,Normal,Male
534-01-4457,A,Seoul,Normal,Male
719-89-8991,A,Seoul,Member,Female
286-62-6248,B,Incheon,Normal,Male
339-38-9982,B,Incheon,Member,Male
827-44-5872,B,Incheon,Member,Female
827-77-7633,A,Seoul,Normal,Male
287-83-1405,A,Seoul,Normal,Male
435-13-4908,A,Seoul,Member,Male
857-67-9057,B,Incheon,Normal,Male
236-27-1144,C,Gyeonggi,Normal,Female
892-05-6689,A,Seoul,Normal,Female
583-41-4548,C,Gyeonggi,Normal,Male
339-12-4827,B,Incheon,Member,Female
643-38-7867,A,Seoul,Normal,Male
308-81-0538,A,Seoul,Normal,Female
358-88-9262,C,Gyeonggi,Member,Female
460-35-4390,A,Seoul,Normal,Male
343-87-0864,C,Gyeonggi,Member,Male
173-50-1108,B,Incheon,Member,Female
243-47-2663,C,Gyeonggi,Member,Male
841-18-8232,B,Incheon,Normal,Female
701-23-5550,B,Incheon,Member,Male
647-50-1224,A,Seoul,Normal,Female
541-48-8554,A,Seoul,Normal,Male
539-21-7227,B,Incheon,Normal,Female
213-32-1216,A,Seoul,Normal,Female
747-58-7183,B,Incheon,Normal,Male
582-52-8065,B,Incheon,Normal,Female
210-57-1719,B,Incheon,Normal,Female
399-69-4630,C,Gyeonggi,Normal,Male
134-75-2619,A,Seoul,Member,Male
356-44-8813,B,Incheon,Normal,Male
198-66-9832,B,Incheon,Member,Female
283-26-5248,C,Gyeonggi,Member,Female
712-39-0363,A,Seoul,Member,Male
218-59-9410,A,Seoul,Member,Female
174-75-0888,B,Incheon,Normal,Male
866-99-7614,C,Gyeonggi,Normal,Male
134-54-4720,B,Incheon,Normal,Female
760-90-2357,A,Seoul,Member,Male
514-37-2845,B,Incheon,Normal,Male
698-98-5964,A,Seoul,Normal,Female
718-57-9773,C,Gyeonggi,Normal,Female
651-88-7328,A,Seoul,Normal,Female
241-11-2261,B,Incheon,Normal,Female
408-26-9866,C,Gyeonggi,Normal,Female
834-83-1826,B,Incheon,Member,Female
343-61-3544,B,Incheon,Member,Male
239-48-4278,A,Seoul,Member,Male
355-34-6244,B,Incheon,Normal,Male
550-84-8664,A,Seoul,Normal,Male
339-96-8318,B,Incheon,Member,Male
458-61-0011,B,Incheon,Normal,Male
592-34-6155,C,Gyeonggi,Normal,Male
797-88-0493,A,Seoul,Normal,Female
207-73-1363,B,Incheon,Normal,Male
390-31-6381,C,Gyeonggi,Normal,Male
443-82-0585,A,Seoul,Member,Female
339-18-7061,C,Gyeonggi,Member,Female
359-90-3665,B,Incheon,Member,Female
375-72-3056,B,Incheon,Normal,Male
127-47-6963,A,Seoul,Normal,Male
278-86-2735,A,Seoul,Normal,Female
695-28-6250,A,Seoul,Normal,Female
379-17-6588,C,Gyeonggi,Normal,Male
227-50-3718,A,Seoul,Normal,Male
302-15-2162,C,Gyeonggi,Member,Male
788-07-8452,C,Gyeonggi,Member,Female
560-49-6611,A,Seoul,Member,Female
880-35-0356,A,Seoul,Member,Female
585-11-6748,B,Incheon,Member,Male
470-31-3286,B,Incheon,Normal,Male
152-68-2907,A,Seoul,Normal,Male
123-35-4896,C,Gyeonggi,Normal,Female
258-69-7810,C,Gyeonggi,Normal,Female
334-64-2006,A,Seoul,Member,Female
219-61-4139,C,Gyeonggi,Normal,Male
881-41-7302,C,Gyeonggi,Normal,Female
373-09-4567,C,Gyeonggi,Normal,Male
642-30-6693,B,Incheon,Normal,Female
484-22-8230,C,Gyeonggi,Member,Female
830-58-2383,B,Incheon,Normal,Male
559-98-9873,A,Seoul,Member,Female
544-32-5024,C,Gyeonggi,Member,Female
318-12-0304,A,Seoul,Normal,Male
349-97-8902,B,Incheon,Member,Male
421-95-9805,A,Seoul,Normal,Female
277-35-5865,C,Gyeonggi,Member,Female
789-23-8625,B,Incheon,Member,Male
284-54-4231,C,Gyeonggi,Member,Male
443-59-0061,A,Seoul,Member,Male
509-29-3912,A,Seoul,Member,Female
327-40-9673,B,Incheon,Member,Male
840-19-2096,C,Gyeonggi,Member,Male
828-46-6863,A,Seoul,Member,Male
641-96-3695,C,Gyeonggi,Member,Female
420-97-3340,A,Seoul,Normal,Female
436-54-4512,A,Seoul,Member,Female
670-79-6321,B,Incheon,Member,Female
852-62-7105,B,Incheon,Normal,Female
598-06-7312,B,Incheon,Member,Male
135-13-8269,B,Incheon,Member,Female
816-57-2053,A,Seoul,Normal,Male
628-90-8624,B,Incheon,Member,Male
856-66-2701,A,Seoul,Member,Male
308-39-1707,A,Seoul,Normal,Female
149-61-1929,A,Seoul,Normal,Male
655-07-2265,A,Seoul,Normal,Male
589-02-8023,A,Seoul,Member,Male
420-04-7590,B,Incheon,Normal,Male
182-88-2763,B,Incheon,Member,Male
188-55-0967,B,Incheon,Member,Male
610-46-4100,A,Seoul,Normal,Male
318-81-2368,C,Gyeonggi,Normal,Female
364-33-8584,B,Incheon,Member,Female
665-63-9737,B,Incheon,Normal,Male
695-09-5146,B,Incheon,Member,Female
155-45-3814,C,Gyeonggi,Member,Female
794-32-2436,B,Incheon,Member,Male
131-15-8856,C,Gyeonggi,Member,Female
273-84-2164,C,Gyeonggi,Member,Male
706-36-6154,A,Seoul,Member,Male
